,Title,views,views_preds
971,Budget Hoverboards / Self Balance Scooters - Worth Buying in 2016?,17474,153893.56
140,Do NOT buy the Freedom Phone!! 🤬,6197393,3850762.58
1052,Rio S Earphones - Full Review! | 4K,4825,147027.66
358,Night Mode on a BUDGET Smartphone Camera!?,369167,935687.1066666667
767,Top 10 Tech Life Hacks!,67175,288098.41925925924
213,I bought the cheapest smartphones EVER.,8954945,5809520.388888889
311,Samsung Note 10 Plus vs S10 Plus / iPhone XS Max / P30 Pro / OnePlus 7 Pro Battery Life DRAIN TEST,1787469,2620732.7266666666
1026,Xiaomi Yeelight Review - The Coolest Desk Lamp Ever? | 4K,120415,1956608.9466666668
959,Don't Buy a GoPro Until you see this!,128938,204820.76388888888
1153,Apple iPad Air 3: Hopes vs Reality!,156922,314632.05333333334
990,Helio X10 Processor Gaming Test!,49678,92445.68
779,Top 10 Best Android Apps - March 2017!,140575,259850.78666666665
350,Asus Zenfone 6 - ULTIMATE Rotating Camera Smartphone.,7144204,723839.7933333333
998,Zeblaze Crystal Smartwatch Review | 4K,15454,34337.575666666664
304,Vivo NEX 3 vs Samsung Galaxy Note 10 Plus,3166164,1151070.3644444447
852,Best Budget Tech? - September 2016,299518,140714.09333333332
105,How Apple AirTags are becoming Dangerous ⚠️,7113160,2282745.9
677,Instagram Tricks that EVERYONE Should be using!,119711,3495028.58
1329,Cubot GT99 - The Best $150 China Smartphone 2014 - DHGate Unboxing,51376,194410.62666666668
994,The Best Budget Microphone for Voiceovers!,36035,86204.915
125,25 Inventions that are Out of this World. 🌏,8666266,7979114.78
642,10 Amazing Websites that could Change your Life.,135491,688459.5
593,"$25,000 Gaming Setup - EVOLUTION!",200134,208161.59333333332
112,Oppo Find N Unboxing - Did they just kill Samsung!?,6398965,5395847.793333333
248,Huawei P40 Pro vs Samsung S20 Ultra vs iPhone 11 Pro Max Camera Test Comparison!,4383595,4033243.7466666666
1067,Bluboo X550 - 5350mAh Monster - Full Review!,23511,582115.0133333333
212,Xiaomi Mi 10 Ultra - Unboxing and Review.,7225013,6051037.346666667
1202,PS Vita 3000 - The Future of Playstation Vita 2 (2015-2016),99653,351976.30666666664
1108,Umi Voix Earphones Full Review!,6820,58239.573333333334
925,Best Android Games: April 2016,114518,382603.48
1004,Mrwhosetheboss Reviewing Competition 1.0!,11791,117538.45955555556
1048,The Cheapest Way to Waterproof any Phone or Tablet? | 4K,1308715,214965.93055555553
956,Huge Smartphone Giveaway!,18386,184116.51166666666
536,Huawei P20 vs P20 Pro vs iPhone 8 Plus vs S9 Battery Drain Test!,3292343,1782532.0466666666
541,10 Android Apps you NEED to try in 2018,1095895,560272.64
207,Poco X3 - The Shady Truth.,5148912,3065965.082222222
504,13 Smartphone Gadgets that will Blow you away.,2259803,3828566.7355555557
249,Huawei P40 Pro Unboxing - The Best Camera Ever?,2161012,1258028.1933333334
1391,NEW Google Nexus 6 - My Opinion - Top Smartphone of 2014?,66330,341413.18666666665
976,Mega Custom PS4 Christmas Giveaway (International)!,11155,2359166.12
1005,Xiaomi Redmi Note 2 Review!,105103,149516.14
228,The 2020 Voice Assistant Battle.,7830261,2569853.986666667
856,Best Tech for Your Smartphone - 2016,105471,372900.4533333333
1042,The Best Value Phone To Buy In 2015 | 4K,32868,108782.41333333333
357,I GOT GALAXY NOTE 10 DETAILS EARLY!,680530,2818659.9133333336
1168,Floureon 40W 5-Port USB Charging Adaptor - Charge 5 Devices at Once!,4493,164706.19333333333
1474,How to Make your PC Display look Amazing!,81631,86786.36666666667
21,Unboxing the Most Expensive Samsung Phone EVER.,4283999,5429165.406666666
623,iPhone X vs Galaxy Note 8 vs iPhone 8 Plus - Battery Charging Speed Test,433001,865654.8933333333
599,5 Amazing Upcoming Smartphone Features - 2018 / 2019,395425,452471.9866666667
712,8 AMAZING Google Chrome Extensions!,118359,2843010.3855555556
674,Best Tech - September 2017!,154085,1596418.4149999998
488,13 CHEAP but INCREDIBLE Smartphone Gadgets.,1731864,3300728.3222222226
7,I made a phone case for $0.,10055647,11451404.39457143
996,The Best HiFi Music Player of 2015?,65145,245785.52666666667
130,iPhone 13 Unboxing - Are they ACTUALLY Good!?,5820471,3452468.96
389,Samsung S10 Plus vs iPhone XS Max / Mate 20 Pro EXTREME Camera Test,2418625,2991301.3666666667
114,Unboxing WORLD'S FIRST Next-Gen 2022 phone.,2733974,5330493.546666667
462,Top 10 Smartphone Gadgets - 2018!,919805,3065532.6555555556
742,The Monster Smartphone.,290184,260996.96666666667
404,Why Foldable Phones will Fail...Then Succeed ft. MKBHD,286299,3035749.2733333334
1282,Yahoo Aviate Review - World's Best Android Home screen Launcher? (2014-2015),7298,202260.59133333332
1010,Zaydo Pulse Smartphone - Oneplus 2 Killer?,11113,125730.18666666666
1433,SUPER CHEAP Ultra Powerful Quad Core Exynos Android Tablet PC Hyundai T7 Full Review HD,51089,19132.746666666666
1377,Flappy One Direction: The Worst Android Game on Earth?,6500,199801.65333333332
829,DOUBLE Your Android Battery Life for FREE!,916997,569070.42
1272,PS Vita: Muramasa Rebirth - First Gameplay Impressions HD,7026,37537.76
128,iPhone 13 Pro Max vs 13 Pro / 13 / 13 Mini / 12 / 11 / SE - Battery Life DRAIN TEST,12715933,6578763.846666667
73,$1 vs $50 iPhone Case!,46275524,11754829.373293648
